"WK" "CPU_CLOCKS_UNHALTED" "INSTRUCTIONS_RETIRED" "UOPS_RETIRED" "DISPATCH_STALLS" "DISPATCHED_FAST_FPU" "BRANCH_MISPREDICT_RETIRED" "POWER"
5 62569616981 66985526001 69501568116 30562762153 1879950453 354876350 97.6625
5 62465704838 66407320363 68921906572 30726209411 1860645260 360089962 97.5
5 62755947891 65829278929 68402146031 31307418012 1800296628 358618591 97.525
5 62901425511 65739775080 68266969663 31340182549 1775274195 362829059 97.5125
5 62791326585 65163293618 67693140987 31409168386 1766751661 369300482 97.425
5 62908414471 64860932398 67389051101 31603899774 1771327951 362266218 97.4125
5 62698674698 65142977147 67730197804 31369259831 1758660083 366713054 97.3875
5 62721963444 65132909422 67610142137 31372274319 1786828167 359123294 97.4625
5 62731873539 65389216748 67922809239 31495912598 1801506640 353383306 97.375
5 62576024326 65392792810 67860302437 31292563342 1800391935 355375074 97.35
5 62640585105 66140688837 68700494453 31051191097 1806655336 356022138 97.2875
5 62522685192 66111655101 68580980487 30847249643 1841151274 359686051 97.375
5 63039142706 67136055869 69584249803 31111707920 1852571587 346362417 97.4125
5 62763080315 67337084512 69914563194 30408091348 1891447048 355871937 97.4875
5 63308871291 68373551920 70933166540 30161295439 1896685869 355357121 97.6375
5 62767387845 67908953521 70401896543 30236173051 1922598662 356046448 97.725
5 61701280519 67085803431 68393098524 29327713847 1858908384 411265256 97.8375
5 62023405562 67097514190 67471111979 27064809648 1718444433 555641385 98.7625
5 62418325705 66465094008 66814678963 27519838525 1668660306 555386666 99.1875
