"WK" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "UNHALTED_CLK_CYCLES" "POWER"
6 167595101 21266896903 18119369596 844624065 139893333745 113384878714 8030935507 14513088856 6833425 38159171 225905391 66970292610 42.87459
6 186783272 22064775754 18926248902 897436564 147265542094 132021589027 10995705663 16992873510 5635710 50254284 259930483 74258225822 42.9996
6 74846694 22127044141 19063203270 1034811512 133326668288 97965703261 4327443953 9746456332 6755060 6561797 176178868 57355858404 38.49961
6 92746115 21665479896 18256490293 994763072 135547019890 101724173796 4104762538 9369771174 2480193 6794549 118194830 57349172116 35.74967
6 81765089 21862938634 18610207007 1007670221 134491812123 104356402116 4140044229 9209391408 3506350 6673961 112318429 57257169979 35.87465
6 98769609 21441921815 18104272260 1025184122 133814027048 96822479791 4139578507 9652828875 5719910 6588606 159725992 57332325126 35.74965
6 107682579 21425636855 18017566193 996684475 134552858711 100798318867 3913770866 9277287801 1390201 6677084 104548772 57323832603 35.87467
6 131909136 21181332269 17435914843 936547452 137509935928 100249702119 4158562875 9526021444 5826472 6683289 127246572 57327204099 35.99965
6 118447024 21399723434 17746718235 946839975 137343482296 103780184242 4019732460 9155663367 1935464 6671768 90943509 57333232129 36.12466
6 143106626 21127762670 17430295574 944906039 136769217822 107138150589 4196189107 8989244532 2753842 6715580 78140020 57339805218 35.99961
6 146879716 21172305940 17127732294 861753494 140954623969 100594001957 3987257464 9165286435 1835934 6653475 103627106 57334814741 36.12466
6 120255367 20902845605 17115091102 947390358 136888356988 105861976956 4162228684 8894754974 1954142 6816772 77806385 57336949453 36.24966
6 74830186 13245630963 10733785848 608246855 88064575358 109035854307 4323444980 9090656195 1589979 6499543 69778878 57538068687 36.12465
7 225805933 12610915042 10038720587 82561737 79845730120 107161732827 17338791522 18558700853 4903947 110142884 223739482 53824937482 29.2497
7 218404403 12083122725 9747849414 79758493 77349067120 113686203169 23761533231 24508917407 4058724 122446609 309291454 58228771001 30.74971
7 218124314 10008822419 8205056149 62945535 69193484117 122772401161 26878302053 27886255507 4812507 134505145 488648824 64827440608 30.62462
7 235200629 5684835963 5032400506 31887933 55311299137 104057427980 22933861214 24513044973 4561295 107754617 328665904 59249354213 29.49963
7 326966309 8076275163 7152987547 46163863 79664378423 109365748427 25509366420 26257295789 3354942 118767282 473092821 58291789210 29.4997
7 344813567 12785527003 10730531800 78053764 99836723164 103744125476 23252928539 23880364772 3600425 109725999 372131706 54464809294 29.62469
7 353304071 14548727391 12060583526 92955207 107277173821 75822818384 18535816959 19879203183 3538577 75176323 262228852 45464399228 30.12469
7 109831714 2726817968 2293673884 37799176 41525803561 72486860820 18033180967 19764675721 8047081 71436068 285437512 45496688498 29.49969
7 126241259 1091411056 1017067296 38338747 37679495307 35657933206 10509853135 11167871847 2498175 25580812 242771575 24955383378 29.74961
7 1277060708 1073990456 993919088 75513906 66459714001 51545938329 8645221606 8948631971 15481676 7142350 146398886 20191018996 24.62476
7 2424926474 1029951153 947743104 108392586 95596099597 54828850219 8651538348 8972985191 5247695 6885663 101948170 20294958587 24.62476
7 2437895880 1032231048 951007815 108377692 96004630398 74836822383 13766179689 14454580099 15260501 8519399 90645577 30241791104 25.74965
7 2456582535 1030098581 949327560 109587983 96303811949 92202009004 17919861689 18928750082 22691178 9007128 77120610 38403808009 38.12461
7 2468651247 1027005662 946677674 110405311 96322731735 92511013777 17935854706 18849107279 21797745 9100605 76630226 38332728592 38.2496
7 2472027425 1027002814 945701501 111093286 96043885381 92698006753 17837527593 18754179305 21256626 9003198 75242909 38313310151 38.12447
7 2467088529 1027191881 945107498 111904247 96090628950 92603415062 17851340793 18790617318 21452495 9207952 75463992 38351929108 38.1246
7 1589090988 672907971 616312161 72343030 61932462197 92068451051 17867719091 18800110438 21081887 9124639 75839174 38322429191 38.1246
8 1166634234 12798547481 10528649242 209336359 113446253873 48919316202 10417066953 14762382107 2249813 98153896 320903760 35614434684 39.49967
8 1308352638 11832077133 9472126252 233562063 96899535632 129232695064 23561231192 28725241462 1289839 120403457 315048620 78680264351 42.99963
8 1196993783 11021180715 8847461183 215301403 90929088189 147187153760 24995853626 30283439857 1012744 93876050 230250308 87701988918 43.12452
8 1134693914 10645681468 8571695755 206044177 88251459583 104130723795 16874779453 21522651578 1822084 64066890 173095732 61300420671 42.49964
8 1158972657 11181906556 9039117630 211331893 94229670254 152855473270 25116574727 29665351304 1391755 92404263 267024016 83214703289 42.49963
8 1335328645 13465899146 10958887870 242485053 116013421749 142169072135 23120080376 27975996129 1267633 79651389 245969076 81240920183 42.99963
8 1219421933 12028421155 9761142922 219851982 101773364967 134268995967 21577490564 26291668147 990626 59968428 173547649 75918195588 42.37463
8 929945187 8942267379 7240751616 168635599 74185301753 151760207230 24444682561 28979765345 1063651 72007296 216197277 84285045609 41.37465
8 1189684359 8820038703 6793824697 219380577 68614380488 125995800900 20444156683 24587872637 1074529 59089917 173557900 68395803042 41.49965
8 1190534483 8819278469 6794313721 219676083 68592237739 82861445776 11660340823 13977902585 957114 6614170 7471010 38333934408 40.12451
8 1186934398 8806609535 6782500816 219429106 68525802821 117747974284 16535092467 18890877720 785997 7278111 7666442 54376702962 35.74968
8 942764621 6999552234 5390591536 173920220 54461651207 81091592995 11435095000 13203508627 1056521 7076948 9100287 37530000505 35.49967
8 218930346 1628590164 1253305829 40836151 12659437301 408545702 162966524 264052039 1699685 6885247 13015533 577972610 27.49974
9 146009673 5201117674 4055551729 84900001 63724100241 85338480346 20231849054 23391266196 50835900 295748219 570182773 57558056445 36.62374
9 172862947 5360996909 4368538386 58527905 60801312854 79690357727 19701652993 22720518053 44104849 284305003 598879048 54268240339 36.49872
